date,transaction_id,stockcode,product,customer_id,price,quantity,category,brand,size,flavor,promo_flag,cost
2024-07-05,TXN000198,SKU000,Coffee 01,CUST0019,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-05,TXN000198,SKU003,Bakery 01,CUST0019,7.92,1,Bakery,B1,S,F4,False,4.75
2024-07-05,TXN000198,SKU018,Beverages 03,CUST0019,6.03,1,Beverages,B1,M,F3,False,3.62
2024-07-05,TXN000198,SKU002,Beverages 01,CUST0019,5.73,1,Beverages,B3,M,F3,False,3.44
2024-07-05,TXN000982,SKU024,Coffee 04,CUST0099,6.91,2,Coffee,B1,S,F1,False,4.15
2024-07-05,TXN000982,SKU019,Bakery 03,CUST0099,6.44,3,Bakery,B2,L,F4,False,3.86
2024-07-05,TXN000982,SKU028,Dairy 04,CUST0099,5.79,3,Dairy,B2,M,F1,False,3.47
2024-07-05,TXN000982,SKU000,Coffee 01,CUST0099,5.1,3,Coffee,B1,M,F1,False,3.06
2024-07-05,TXN000982,SKU026,Beverages 04,CUST0099,4.0,2,Beverages,B3,M,F3,False,2.4
2024-07-05,TXN000982,SKU006,Personal Care 01,CUST0099,6.63,3,Personal Care,B1,S,F3,False,3.98
2024-07-05,TXN001005,SKU010,Beverages 02,CUST0102,4.77,2,Beverages,B2,M,F3,False,2.86
2024-07-05,TXN001005,SKU025,Snacks 04,CUST0102,6.63,3,Snacks,B2,M,F2,False,3.98
2024-07-05,TXN001005,SKU020,Dairy 03,CUST0102,17.08,1,Dairy,B3,S,F1,False,10.25
2024-07-05,TXN001005,SKU031,Pet 04,CUST0102,7.29,2,Pet,B2,S,F4,False,4.37
2024-07-05,TXN001005,SKU001,Snacks 01,CUST0102,8.26,3,Snacks,B2,L,F2,False,4.96
2024-07-06,TXN000044,SKU018,Beverages 03,CUST0003,6.03,2,Beverages,B1,M,F3,False,3.62
2024-07-06,TXN000044,SKU033,Snacks 05,CUST0003,6.13,2,Snacks,B1,S,F2,False,3.68
2024-07-06,TXN000044,SKU041,Snacks 06,CUST0003,6.25,1,Snacks,B3,L,F2,False,3.75
2024-07-06,TXN000044,SKU029,Household 04,CUST0003,14.03,3,Household,B3,M,F2,False,8.42
2024-07-06,TXN000044,SKU010,Beverages 02,CUST0003,4.77,2,Beverages,B2,M,F3,False,2.86
2024-07-06,TXN000044,SKU000,Coffee 01,CUST0003,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-06,TXN000290,SKU002,Beverages 01,CUST0029,5.73,1,Beverages,B3,M,F3,False,3.44
2024-07-06,TXN000290,SKU009,Snacks 02,CUST0029,3.57,3,Snacks,B1,M,F2,False,2.14
2024-07-06,TXN000290,SKU017,Snacks 03,CUST0029,6.17,3,Snacks,B3,M,F2,False,3.7
2024-07-06,TXN000290,SKU000,Coffee 01,CUST0029,5.1,3,Coffee,B1,M,F1,False,3.06
2024-07-06,TXN000290,SKU007,Pet 01,CUST0029,12.11,2,Pet,B2,L,F4,False,7.27
2024-07-06,TXN000290,SKU008,Coffee 02,CUST0029,13.87,3,Coffee,B3,M,F1,False,8.32
2024-07-06,TXN000592,SKU024,Coffee 04,CUST0060,6.91,2,Coffee,B1,S,F1,False,4.15
2024-07-06,TXN000592,SKU019,Bakery 03,CUST0060,6.44,2,Bakery,B2,L,F4,False,3.86
2024-07-06,TXN000592,SKU028,Dairy 04,CUST0060,5.79,3,Dairy,B2,M,F1,False,3.47
2024-07-06,TXN000592,SKU054,Personal Care 07,CUST0060,7.07,1,Personal Care,B1,M,F3,False,4.24
2024-07-06,TXN000592,SKU001,Snacks 01,CUST0060,8.26,2,Snacks,B2,L,F2,False,4.96
